outer_fold,training_subjects,excluded_test_subjects,model_name,candidate_id,candidate_parameters_json,training_row_count,feature_count,model_file_path,model_file_size_bytes,model_file_sha256,reload_prediction_match,reload_probability_match,deployment_ready
1,"1,2,3",0,random_forest,random_forest__candidate_002,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",3080,28,artifacts/models/phase3_local_outer/outer_fold_01__random_forest__random_forest__candidate_002.joblib,4378938,30815ee73f7b07c15e325ff13d4e4e66da591c8d0880f8aaf82c46ea30b53c0a,True,True,False
2,"0,2,3",1,random_forest,random_forest__candidate_006,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",2818,28,artifacts/models/phase3_local_outer/outer_fold_02__random_forest__random_forest__candidate_006.joblib,3676090,1251edee09df7447779a12f6eba2403decc57804c9f357167c148ea29b53b6db,True,True,False
3,"0,1,3",2,random_forest,random_forest__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",2896,28,artifacts/models/phase3_local_outer/outer_fold_03__random_forest__random_forest__candidate_004.joblib,3497823,9ad30dcef7d1f321f05b6faff81e9243b6e96d719ca70bd07edfebdadf2f88f3,True,True,False
4,"0,1,2",3,sgd_logistic,sgd_logistic__candidate_004,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",2969,28,artifacts/models/phase3_local_outer/outer_fold_04__sgd_logistic__sgd_logistic__candidate_004.joblib,5808,675b8651ecdc6a6e04b565adfe39892446168849a05f658a4faf91140b92250e,True,True,False
