outer_fold,test_subjects,outer_development_subjects,model_name,candidate_id,candidate_parameters_json,development_row_count,test_row_count,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,multiclass_log_loss,predict_probability_argmax_agreement,predict_probability_argmax_mismatch_count,mean_prediction_confidence,mean_prediction_margin,mean_normalized_entropy
1,0,"1,2,3",random_forest,random_forest__candidate_002,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",3080,841,0.736028537455,0.642138464617,0.64357403428,0.72775621341,0.652681689061,0.61940796427,1,0,0.697251121736,0.51188556639,0.455001653952
2,1,"0,2,3",random_forest,random_forest__candidate_006,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",2818,1103,0.762466001813,0.687483887798,0.64239201373,0.753481223437,0.65911171297,0.631346021753,1,0,0.793416525808,0.671462107143,0.356850488626
3,2,"0,1,3",random_forest,random_forest__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",2896,1025,0.781463414634,0.698585597557,0.698062117178,0.786920929122,0.670001149822,0.607914564836,1,0,0.749002452253,0.594998177601,0.415374170921
4,3,"0,1,2",sgd_logistic,sgd_logistic__candidate_004,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",2969,952,0.709033613445,0.678278065299,0.619980881498,0.725036324256,0.587819524898,5.74343047982,0.968487394958,30,0.916014036741,0.832029344665,0.077840496684
