outer_fold,test_subjects,outer_development_subjects,model_name,candidate_index,candidate_id,candidate_parameters_json,eligible_for_selection,selection_rank,is_selected,complexity_rank,fold_count,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_cohen_kappa,std_cohen_kappa,mean_multiclass_log_loss,std_multiclass_log_loss
1,0,"1,2,3",random_forest,3,random_forest__candidate_003,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,19,False,3,3,0.631957587129,0.00961683325986,0.618901799691,0.032644916202,0.747728682331,0.0202200789641,0.756869931397,0.0150770790799,0.623132201121,0.0351455432503,0.645815174907,0.0499626424837
1,0,"1,2,3",random_forest,4,random_forest__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,9,False,3,3,0.657097312113,0.0217399140895,0.677069399695,0.00602985210615,0.770899761992,0.0157565054393,0.765238767599,0.00734971393072,0.65440187711,0.00503791270936,0.605542721904,0.0216102134849
1,0,"1,2,3",random_forest,5,random_forest__candidate_005,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,11,False,3,3,0.645825845531,0.0282096552048,0.639914895313,0.0332325858778,0.758510803379,0.0103345475443,0.766387384001,0.0120292925845,0.642632325347,0.0199376444869,0.611978668705,0.0138856146784
1,0,"1,2,3",random_forest,6,random_forest__candidate_006,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,2,False,3,3,0.666219419949,0.0350539637764,0.692912410416,0.026019415875,0.776540441656,0.0168726281108,0.769914746165,0.0176926008106,0.663756565484,0.0236847074007,0.622975706514,0.0132112793514
1,0,"1,2,3",random_forest,7,random_forest__candidate_007,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,20,False,3,3,0.630196974802,0.00659833028762,0.624468904248,0.0305400178564,0.747523871694,0.0137320298546,0.755113412147,0.0097227835581,0.623992868907,0.0266685716155,0.624933851051,0.0319934154275
1,0,"1,2,3",random_forest,8,random_forest__candidate_008,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,7,False,3,3,0.659618027735,0.0224230598718,0.679735056979,0.002805386565,0.772687194357,0.0191729139743,0.76778755555,0.00588340683607,0.657767479739,0.00393228740761,0.603482929318,0.0203343213158
1,0,"1,2,3",extra_trees,1,extra_trees__candidate_001,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,10,False,4,3,0.653408624261,0.0456132926051,0.656410099045,0.0540231024371,0.760795775511,0.0177513679857,0.772196987899,0.0168168724033,0.65241584027,0.0304256423048,0.621002324892,0.015700382932
1,0,"1,2,3",extra_trees,2,extra_trees__candidate_002,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,13,False,4,3,0.645509213868,0.04347663145,0.69003151706,0.0577958404527,0.743736478594,0.0147844350635,0.739551809889,0.0247399488876,0.624050486003,0.0410408941589,0.693996554502,0.0453967011708
1,0,"1,2,3",extra_trees,3,extra_trees__candidate_003,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,3,False,4,3,0.663800810913,0.0431163411487,0.660052266642,0.0377672501299,0.772834624543,0.0222741783186,0.782389285192,0.0143554046062,0.667850245114,0.0184110319039,0.594923298616,0.0193211454794
1,0,"1,2,3",extra_trees,4,extra_trees__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,4,False,4,3,0.663512187129,0.0350828388352,0.698490459768,0.0354861904735,0.768974894843,0.0155034725266,0.763253301674,0.0197623366467,0.656002568033,0.0293751133929,0.632064060595,0.0202620491681
1,0,"1,2,3",extra_trees,5,extra_trees__candidate_005,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,8,False,4,3,0.65956423936,0.0449908655722,0.676755787574,0.0595278231653,0.763782865131,0.0181633281887,0.765598079756,0.0219090753295,0.651494452397,0.0385563888635,0.636123051618,0.0351986283056
1,0,"1,2,3",extra_trees,6,extra_trees__candidate_006,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,14,False,4,3,0.643875240507,0.040909420234,0.688890804539,0.0536685252666,0.743404812872,0.0122010789467,0.7365316885,0.0216785900221,0.621495062887,0.0359565704272,0.707108362155,0.0476578793948
